ProjectID,TrialID,Area,Quarter,Estimate,Demand,Supply,Patients,Budget
P-1001,T-01,Cardiology,Q1 2025,120,130,115,340,250000
P-1002,T-07,Endocrinology,Q1 2025,80,75,78,220,180000
P-1003,T-04,Oncology,Q2 2025,150,160,145,410,320000
P-1004,T-11,Neurology,Q2 2025,95,90,93,260,210000
P-1005,T-05,Immunology,Q3 2025,110,118,108,300,240000
P-1006,T-03,Pulmonology,Q3 2025,70,68,69,190,150000
P-1007,T-09,Cardiology,Q4 2025,130,140,128,380,290000
P-1008,T-12,Endocrinology,Q4 2025,85,82,84,230,175000
P-1009,T-02,Oncology,Q1 2026,160,170,155,420,340000
P-1010,T-08,Neurology,Q1 2026,100,105,98,270,220000
